name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Logan Thompson,9,0.10900521271745196,9,0.0023596609632174173,0.10664555175423454,DSS
Luca Cagnoni,2,0.505790934089442,2,0.500597607344389,0.005193326745053017,DSS
Lucas Carlsson,2,0.45021211523174426,2,0.5106974840164185,-0.0604853687846742,RF
Lucas Raymond,3,0.23319109229414256,3,0.31863464415073395,-0.08544355185659139,RF
Lukas Cormier,1,0.10128396726486262,1,0.001980111002922058,0.09930385626194056,DSS
Lukas Dostal,13,0.10752035782272326,13,0.002801436071212475,0.10471892175151079,DSS
Lukas Reichel,11,0.29925246733538313,11,0.1905209676108577,0.10873149972452542,DSS
Lukas Rousek,2,0.1012839672648626,2,0.0011613443493843079,0.1001226229154783,DSS
Luke Evangelista,3,0.07589844170311714,3,0.008649072299400965,0.06724936940371617,DSS
Luke Glendening,10,0.1405024536958446,10,0.0019009709358215332,0.13860148276002307,DSS
Luke Hughes,12,0.3042440320037801,12,0.3593185680607955,-0.0550745360570154,RF
Luke Kunin,5,0.09029266835499736,5,0.0025153368711471557,0.0877773314838502,DSS
Luke Schenn,10,0.13133661799084226,10,0.004906366020441056,0.1264302519704012,DSS
MacKenzie Weegar,4,0.2813882212332152,4,0.12308935075998306,0.15829887047323216,DSS
Mackenzie Blackwood,2,0.10707490135430464,2,0.003080300986766815,0.10399460036753783,DSS
Mackie Samoskevich,13,0.24806143074105766,13,0.1601619812158438,0.08789944952521386,DSS
Macklin Celebrini,2,0.7914210422172052,2,0.7381065487861633,0.05331449343104189,DSS
Maksymilian Szuber,4,0.10417943430958362,4,0.0013515669852495193,0.1028278673243341,DSS
Marat Khusnutdinov,6,0.18130320514244622,6,0.006190027420719464,0.17511317772172674,DSS
Marc Del Gaizo,2,0.10707490135430466,2,0.0019073933362960815,0.10516750801800857,DSS
Marc Gatcomb,2,0.29227514108138064,2,0.5089876875281334,-0.21671254644675275,RF
Marc McLaughlin,2,0.1128658354437467,2,0.0013403147459030151,0.11152552069784369,DSS
Marc-Andre Fleury,10,0.10475852771852781,10,0.002543531358242035,0.10221499636028578,DSS
Marc-Edouard Vlasic,4,0.10707490135430467,4,0.0015171580016613007,0.10555774335264337,DSS
Marco Kasper,10,0.23906446165383696,10,0.2012830249965191,0.03778143665731787,DSS
Marco Rossi,10,0.28161020515046686,10,0.21938822641968728,0.06222197873077959,DSS
Marcus Foligno,6,0.250366272925116,6,0.009661796813209852,0.24070447611190612,DSS
Marcus Hogberg,4,0.10707490135430466,4,0.002693621441721916,0.10438127991258274,DSS
Marcus Johansson,11,0.23334904854290733,11,0.18613204021345486,0.04721700832945247,DSS
Marcus Pettersson,7,0.3858428878680215,7,0.29199232001389774,0.09385056785412377,DSS
Mario Ferraro,4,0.1012839672648626,4,0.0012880060821771622,0.09999596118268544,DSS
Mark Duarte,1,0.10128396726486262,1,0.000462360680103302,0.10082160658475932,DSS
Mark Friedman,3,0.11286583544374668,3,0.0027264232436815896,0.11013941220006508,DSS
Mark Jankowski,8,0.22702276453978865,8,0.13030035281553864,0.09672241172425,DSS
Mark Kastelic,6,0.3103905027434485,6,0.17334027526279291,0.13705022748065557,DSS
Mark Scheifele,10,0.2646330015441939,10,0.1631815403699875,0.10145146117420639,DSS
Mark Stone,12,0.4096930628351181,12,0.37736080028116703,0.03233226255395105,DSS
Marshall Rifai,3,0.1012839672648626,3,0.002550040682156881,0.09873392658270573,DSS
Martin Fehervary,2,0.4502121152317441,2,0.5106027871370316,-0.06039067190528746,RF
Martin Fehérváry,2,0.10128396726486258,2,0.001373138278722763,0.09991082898613982,DSS
Martin Necas,8,0.4798907475668254,8,0.399322391487658,0.0805683560791674,DSS
Martin Pospisil,8,0.27498936662023465,8,0.2545472583733499,0.02044210824688475,DSS
Mason Appleton,8,0.13570885684988387,8,0.00372204277664423,0.13198681407323964,DSS
Mason Lohrei,6,0.3822766681534194,6,0.33598586171865463,0.04629080643476474,DSS
Mason Marchment,6,0.44969303060429316,6,0.5699773871650299,-0.12028435656073672,RF
Mason McTavish,8,0.3620596883107422,8,0.2868432467803359,0.0752164415304063,DSS
Matej Blumel,2,0.11286583544374672,2,0.0014254115521907806,0.11144042389155594,DSS
Mathew Barzal,2,0.2401441964800075,2,0.492657782509923,-0.25251358602991547,RF
Mathieu Joseph,16,0.1475584305512579,16,0.008466261671856046,0.13909216887940185,DSS
Mathieu Olivier,6,0.478802405733412,6,0.3245319612324238,0.1542704445009882,DSS
Matias Maccelli,12,0.21212226793209643,12,0.0905433405811588,0.12157892735093763,DSS
Mats Zuccarello,10,0.23401379557462146,10,0.11889616549015045,0.11511763008447101,DSS
Matt Benning,2,0.11286583544374668,2,0.002933487296104431,0.10993234814764224,DSS
Matt Boldy,2,0.10577811305638418,2,0.03970760107040405,0.06607051198598013,DSS
Matt Duchene,6,0.2735572594155436,6,0.022260762751102448,0.25129649666444115,DSS
Matt Dumba,4,0.15291263189168147,4,0.00553628895431757,0.1473763429373639,DSS
Matt Grzelcyk,7,0.09012393427813481,7,0.0014646266187940324,0.08865930765934078,DSS
Matt Kiersted,2,0.10128396726486258,2,0.0018992610275745392,0.09938470623728804,DSS
Matt Martin,9,0.10385771574905905,9,0.002168545292483436,0.10168917045657562,DSS
Matt Murray,2,0.10128396726486262,2,0.002613566815853119,0.0986704004490095,DSS
Matt Nieto,4,0.10417943430958362,4,0.0017924848943948746,0.10238694941518875,DSS
Matt Rempe,6,0.13791808800061436,6,0.006924180313944817,0.13099390768666955,DSS
Matt Roy,17,0.23849826370720345,17,0.1294316033668378,0.10906666034036566,DSS
Matt Tomkins,1,0.1012839672648626,1,0.0033361613750457764,0.09794780588981683,DSS
