name,n_test,mae
Jordan Eberle,46,0.5720495933909779
Jordan Frasca,1,0.009045954793691635
Jordan Greenway,50,0.12357370339334012
Jordan Gustafson,5,0.005459437519311905
Jordan Harris,85,0.09975737482309341
Jordan Kyrou,81,0.6277376244557492
Jordan Martinook,59,0.4332372207762831
Joshua Mahura,4,0.2524395138025284
Joshua Roy,1,0.0024646036326885223
Josiah Didier,1,0.003180127590894699
Justin Barron,1,1.0013545528054237
Justin Brazeau,7,0.2889587884502752
Justin Cloutier,1,0.010590281337499619
Justin Danforth,3,0.0033507173260053
Justin Faulk,8,0.3773213690146804
Justin Gill,2,0.0061014387756586075
Justin Holl,61,0.11662214817326577
Justin Hryckowian,13,0.38841262373786706
Justin Janicke,4,0.0036789504811167717
Justin Kipkie,4,0.0018878504633903503
Justin Kirkland,29,0.31338585656264734
Justin Larose,2,0.0024335645139217377
Justin Lee,5,0.005054204165935517
Justin Nachbaur,3,0.0030555278062820435
Justin Pearson,5,0.013969362527132035
Justin Poirier,3,0.003941383212804794
Justin Robidas,9,0.7752555592192544
Justin Sourdif,8,0.15621915459632874
Justus Annunen,84,0.001899480464912596
Juuse Saros,59,0.021058517744985676
Juuso Parssinen,69,0.2671724442338598
Juuso Valimaki,3,0.00550879289706548
Kaedan Korczak,20,0.15141867566853762
Kai Schwindt,1,0.004816457629203796
Kai Uchacz,1,0.0055302903056144714
Kaiden Guhle,5,0.40038649290800093
Karel Vejmelka,2,0.0037919022142887115
Kent Johnson,1,1.0138396993279457
Kevin Mandolese,1,0.0012544579803943634
Kevin Rooney,6,0.168345266332229
Kevin Stenlund,7,0.429556097303118
Kiefer Sherwood,4,0.24945019278675318
Kirill Kaprizov,3,0.35230664412180585
Kirill Kudryavtsev,1,0.008802089840173721
Kirill Marchenko,37,0.707474729801352
Kirill Slepets,3,0.006346963346004486
Kirill Tankov,5,0.005054204165935517
Klavs Veinbergs,2,0.0037523452192544937
Klim Kostin,62,0.20140728246300452
Koehn Ziemmer,1,0.011148352175951004
Kole Lind,6,0.5022718167553345
Konnor Smith,5,0.004904054850339889
Konsta Helenius,7,0.7126957241977964
Kris Letang,81,0.4186567007391541
Kristian Kostadinski,4,0.00417389627546072
Kurtis MacDermid,86,0.0013876043173462846
Kyle Aucoin,6,0.00454855648179849
Kyle Burroughs,82,0.05052485303362695
Kyle Capobianco,6,0.16995594650506973
Kyle Clifford,1,0.003842860460281372
Kyle Connor,88,0.9378210465339097
Kyle Crnkovic,4,0.0018878504633903503
Kyle Keyser,1,0.011142261326313019
Kyle Konin,2,0.001375298947095871
Kyle Kukkonen,3,0.0031220639745394387
Kyle Looft,2,0.006178364157676697
Kyle MacLean,15,0.07120503162344297
Lane Hutson,1,0.023517191410064697
Lars Eller,1,0.005537200719118118
Lawson Crouse,1,0.0042595043778419495
Leo Carlsson,1,0.004705134779214859
Leon Draisaitl,2,0.9788123071193695
Liam Foudy,1,0.0026878975331783295
Liam O'Brien,6,0.0029368996620178223
Liam Ohgren,2,0.0050496906042099
Linus Ullmark,1,0.001341894268989563
Lleyton Moore,1,0.0016599036753177643
Logan Cooley,3,0.6561395525932312
Logan Mailloux,1,0.9933428354561329
Logan O'Connor,5,0.601135914772749
Logan Stankoven,2,1.2624405398964882
Logan Thompson,1,0.0002310238778591156
Louis Crevier,4,0.0003386298194527626
Louis Domingue,2,0.00043868646025657654
Luca Cagnoni,7,0.42878902171339306
Luca Del Bel Belluz,13,0.3859802530362056
Luca Marrelli,4,0.00453635398298502
Luca Munzenberger,2,0.002366242930293083
Luca Pinelli,3,0.0036995510260264077
Luca Romano,1,0.011194724589586258
Lucas Carlsson,12,0.2517159249012669
Lucas Condotta,10,0.10245566815137863
Lucas Edmonds,1,0.012330513447523117
Lucas Ellinas,4,0.002697947435081005
Lucas Forsell,2,0.0038172565400600433
Lucas Johansen,1,0.0023226551711559296
Lucas Mercuri,5,0.01564702019095421
Lucas Raymond,80,0.6540659002959728
Lucas Van Vliet,4,0.0061369528993964195
Ludvig Jansson,4,0.003270435146987438
Ludvig Lafton,5,0.002986469119787216
Lukas Cormier,10,0.10315416529774665
Lukas Dostal,84,0.0012389803748755228
Lukas Dragicevic,1,0.9962597414851189
Lukas Fischer,3,0.002189474801222483
Lukas Reichel,70,0.27387177076722896
Lukas Rousek,5,0.00476679727435112
Lukas Svejkovsky,1,0.012330513447523117
Luke Ashton,3,0.0051226454476515455
Luke Coughlin,2,0.0029419809579849243
Luke Devlin,3,0.005737017840147018
Luke Evangelista,37,0.398792221840169
Maksymilian Szuber,1,0.004375051707029343
Marat Khusnutdinov,4,0.25295528676360846
Marc Del Gaizo,1,0.0022053495049476624
Marc-Andre Fleury,1,0.003297954797744751
Marc-Edouard Vlasic,2,0.003379417583346367
Marco Kasper,4,0.7640524031594396
Marco Rossi,2,0.3038274645805359
Marcus Kearsey,1,0.011266801506280899
Marcus Pettersson,12,0.25297424135108787
Marcus Sylvegard,1,0.004617046564817429
Marek Alscher,2,0.5022711493074894
Marek Howell,1,0.007176946848630905
Marek Vanacker,1,0.012192904949188232
Mario Ferraro,69,0.23487743891883586
Mark Duarte,1,0.0016799457371234894
Mark Friedman,13,0.08012571816260998
Mark Jankowski,86,0.17811242391376994
Mark Kastelic,79,0.24289102314770977
Mark Liwiski,4,0.0035777706652879715
Mark Pysyk,4,0.005853102542459965
Mark Scheifele,83,0.801501845738974
Mark Senden,1,0.011142261326313019
Mark Stone,62,0.8178011603773602
Matias Maccelli,1,0.008024051785469055
Mats Zuccarello,1,0.011148352175951004
Matt Duchene,1,0.983087420463562
Matt Murray,3,0.007248915731906891
Matt Nieto,26,0.03965643162910755
Matt Rempe,57,0.10782400237625106
Matt Roy,82,0.3074692511340467
Matt Savoie,5,0.2048177994787693
Matt Tomkins,7,0.013233073587928499
Matt Villalta,12,0.0022048605605959892
Matteo Costantini,3,0.005939111113548279
Matteo Mann,5,0.005383998900651932
Matteo Pietroniro,2,0.006378941237926483
Matthew Barbolini,2,0.986030001193285
Matthew Coronato,73,0.5584257849785563
Matthew Gard,1,0.01159602403640747
Matthew Highmore,39,0.02835386599867772
Matthew Kessel,52,0.06105534187876261
Matthew Knies,76,0.6607878724799344
Matthew Wood,2,1.4997296500951052
Mattias Ekholm,23,0.48692764228452806
Michael Bunting,3,1.6428937663634617
Michael Kesselring,2,0.4985824879258871
Michael McCarron,29,0.17627484955150505
Michael Milne,6,0.0044654229034980135
Michael Misa,2,0.008724696934223175
Michael Pezzetta,79,0.026889940511576737
Michael Rasmussen,91,0.20090472485337937
Michael Sgarbossa,8,0.25400567101314664
Michal Postava,6,0.005581894889473915
Miguel Marques,4,0.00473237968981266
Mika Zibanejad,75,0.7279767325768868
Mikael Backlund,84,0.37694302831022514
Mikael Diotte,3,0.006553384164969127
Mike Matheson,1,0.08436722308397293
Mike Reilly,13,0.156682727428583
Mikey Anderson,15,0.20428235506018003
Mitchell Chaffee,4,0.49864451866596937
Morgan Frost,1,0.004224017262458801
Morgan Geekie,2,0.4687153697013855
Morgan Rielly,4,0.2534686867147684
Moritz Seider,7,0.550959900021553
Nate Bastian,8,0.1276424960233271
Nate Clurman,2,0.0029983501881361008
Nate Corbet,1,0.0072366297245025635
Nate Schmidt,8,0.3785250070504844
Nathan Aspinall,1,0.00015439465641975403
Nathan Legare,3,0.00537723923722903
Nathan MacKinnon,54,0.9352443052662743
Nathan Mayes,4,0.006047516129910946
Nathan Pilling,2,0.0029823314398527145
Nathan Smith,3,0.3353874000410239
Nathan Staios,1,0.0023428797721862793
Nathan Sucese,3,0.0015835041801134746
Nathan Villeneuve,3,0.003957760830720265
Nathan Walker,85,0.23762029102619955
Nathaniel Day,1,0.011401873081922531
Navrin Mutter,2,0.0011002831161022186
Nazem Kadri,80,0.7042133784387261
Neal Pionk,90,0.6106800440698862
Neil Shea,1,0.002861984074115753
Nic Dowd,81,0.2927017470844734
Nic Sima,5,0.013828156888484955
Nicholas Deangelis,4,0.004900376312434673
Nico Hischier,1,0.3780134916305542
Nico Sturm,1,0.0019159242510795593
Nicolas Aube-Kubel,1,0.0034879744052886963
Nicolas Deslauriers,5,0.0020850524306297302
Nicolas Hague,3,0.3341630697250366
Nicolas Roy,11,0.5501844771206379
Niilopekka Muhonen,3,0.007042491187651952
Nikita Alexandrov,5,0.004425185918807984
Nikita Artamonov,3,0.003941383212804794
Nikita Chibrikov,10,0.20513505972921847
Nikita Grebenkin,16,0.12775419536046684
Nikita Guslistov,2,0.008424336090683937
Nikita Ishimnikov,4,0.005280507728457451
Nikita Kucherov,77,0.8640326962552287
Nikita Nesterenko,34,0.26779003583771344
Nikita Novikov,4,0.2534159291535616
Nikita Popugaev,5,0.005667503923177719
Nikita Prishchepov,16,0.00402224319986999
Nikita Quapp,4,0.005121489055454731
Nikita Susuev,1,0.011794544756412506
Nikita Susuyev,2,0.0014446564018726349
Nikita Tolopilo,9,0.0036359901229540506
Nikita Yevseyev,3,0.004321525494257609
Nikita Zadorov,77,0.2519776750984904
Niklas Kokko,3,0.004460308700799942
Niko Huuhtanen,1,0.007328450679779053
Niko Mikkola,75,0.1981636202832063
Nino Niederreiter,1,0.03299063444137573
Nolan Allan,1,0.004475593566894531
Nolan Foote,1,0.002623453736305237
Nolan Lalonde,1,0.00781724601984024
Olen Zellweger,5,0.6001001618802547
Oliver Bjorkstrand,4,0.20543979946523905
Oliver Ekman-Larsson,4,0.25557065289467573
Oliver Kapanen,2,0.007845235988497734
Oliver Moore,1,0.0033978670835494995
Oliver Wahlstrom,22,0.09357921034097672
Olivier Nadeau,2,0.003334490582346916
Olivier Rodrigue,19,0.0025685986405924745
Olle Lycksell,26,0.33476536720991135
Olli Määttä,75,0.21625670318802198
Ollie Josephson,4,0.0036789504811167717
Ondrej Becher,7,0.004399927066905158
Ondrej Kos,2,0.0014446564018726349
Ondrej Palat,86,0.3480033970676189
Ondrej Pavel,4,0.005280507728457451
Oscar Dansk,3,0.004537080725034078
Oscar Eklind,6,0.005485189457734426
Oscar Fisker Molgaard,5,0.40290694162249563
Oskar Back,39,0.25872436242225844
Oskar Bäck,48,0.1492053767045339
Oskar Jellvik,4,0.00417389627546072
Oskar Olausson,2,0.003635549917817116
Oskar Pettersson,3,0.007226729144652684
Oskar Sundqvist,21,0.14573896694041433
Owen Power,1,0.0017312616109848022
Philip Tomasino,3,0.0033021767934163413
Philipp Grubauer,50,0.0016620476543903352
Philipp Kurashev,75,0.18119016299645105
Philippe Daoust,1,0.007193285971879959
Philippe Myers,90,0.09037757544881768
Phillip Danault,88,0.6065609638409858
Pierre Engvall,55,0.22214012444019318
Pierre-Edouard Bellemare,4,0.005280507728457451
Pierre-Luc Dubois,59,0.6572320377927715
Pontus Holmberg,3,0.0035607852041721344
Radko Gudas,4,0.5000429237261415
Rafael Harvey-Pinard,1,0.0022871196269989014
Raphael Lavoie,1,0.0037934891879558563
Rasmus Andersson,1,0.0017688311636447906
Rilen Kovacevic,1,0.007176946848630905
Riley Hughes,1,0.00269133597612381
Riley Stillman,2,0.004503723233938217
Riley Tufte,1,0.00488787516951561
Robby Fabbri,21,0.38115689690623966
Robert Bortuzzo,37,0.08468314370996244
Robert Calisti,1,0.007895335555076599
Robert Flinton,4,0.005716935731470585
Robert Hagg,12,0.0037296790008743605
Robert Mastrosimone,3,0.0030858442187309265
Robert Thomas,80,0.7006678245030343
Roby Jarventie,8,0.2524036467075348
Rocco Grimaldi,4,0.005958051420748234
Rodrigo Abols,34,0.2660603923175265
Rodwin Dionicio,3,0.007290973017613093
Roland McKeown,4,0.005853102542459965
Roman Ahcan,2,0.007602967321872711
Roman Bychkov,4,0.00417389627546072
Roman Josi,64,0.5690328711643815
Roman Kantserov,5,0.005016375333070755
Roman Schmidt,4,0.004156569018959999
Roman Shokhrin,4,0.005958051420748234
Ronan Seeley,6,0.003779066726565361
Roni Hirvonen,12,0.003956697881221771
Ronnie Attard,4,0.007490822114050388
Roope Hintz,70,0.7720983863409077
Rory Kerins,12,0.418445048853755
Ross Colton,27,0.43620859058918776
Ryan McDonagh,2,0.006905891001224518
Ryan Suter,2,0.5011743940412998
Ryder Rolston,1,0.009026817977428436
Sam Colangelo,7,0.14530716623578752
Sam Dickinson,4,0.011081555858254433
Sam Gagner,3,1.3315715131660302
Sam Harris,3,0.0038421725233395896
Sam Houde,2,0.003752879798412323
