name,n_test,mae
Jansen Harkins,27,0.22360535517886834
Jared McCann,31,0.47955660329711053
Jared Spurgeon,31,0.2896102282308763
Jaret Anderson-Dolan,10,0.2010630875825882
Jason Dickinson,29,0.0015491360220415838
Jason Robertson,35,0.48541687726974486
Jason Zucker,32,0.5783073925413191
Jaxson Stauber,12,0.0006063456336657206
Jaycob Megna,8,0.0008211173117160797
Jayden Perron,1,0.001263052225112915
Jayden Struble,33,0.12244364528944998
Jean-Gabriel Pageau,31,0.4883772548167936
Jeff Malott,7,0.14378464009080613
Jeff Petry,22,0.3198680809952996
Jeff Skinner,36,0.17009804315037197
Jeffrey Viel,4,0.0010924413800239563
Jere Innala,8,0.00038941018283367157
Jeremy Lauzon,14,0.14452983332531794
Jeremy Swayman,31,0.0008087735022267987
Jesper Boqvist,36,0.02865819798575507
Jesper Bratt,34,0.41702214102534685
Jesper Fast,2,0.0009875372052192688
Jesper Wallstedt,5,0.0008897393941879273
Jesperi Kotkaniemi,36,0.2804979777170552
Jesse Kiiskinen,2,0.0009875372052192688
Jesse Puljujärvi,24,0.09167439583688974
Jet Greaves,7,0.0008191636630467006
Jett Luchanko,4,0.0010152682662010193
Jimmy Schuldt,6,0.16918775935967764
Jimmy Snuggerud,6,0.4600692664583524
Jimmy Vesey,28,0.25175466760993004
Jiri Kulich,28,0.21501983063561575
Joakim Ryan,1,0.001263052225112915
Joe Snively,2,0.4999046251177788
Joe Veleno,33,0.21413326760133108
Joel Armia,34,0.20897558243835673
Joel Blomqvist,14,0.0006697007587977818
Joel Edmundson,34,0.08721017223947189
Joel Eriksson Ek,21,0.5258260227385021
Joel Farabee,33,0.15298924301609848
Joel Hanley,31,0.29336350867825167
Joel Hofer,34,0.03044614414958393
Joel Kiviranta,34,0.0606747848146102
Joey Anderson,16,0.06286568846553564
Joey Daccord,30,0.06748390545447668
John Beecher,32,0.25026533333584666
John Carlson,35,0.39255905108792444
John Gibson,27,0.037487211602705496
John Hayden,14,0.21509372017213277
John Klingberg,14,0.4952889478632382
John Ludvig,15,0.13395005067189533
John Marino,16,0.17864830140024424
John Tavares,34,0.43027711462448626
John Whipple,2,0.0009875372052192688
Johnathan Kovacevic,34,0.14855186948004892
Jon Merrill,34,0.1778106829699348
Jonah Gadjovich,36,0.22377117640442318
Jonas Brodin,28,0.10089105633752686
Jonas Johansson,33,0.0007866860339135835
Jonas Rondbjerg,10,0.0007889792323112488
Jonas Siegenthaler,23,0.17632272062094315
Jonatan Berggren,32,0.19003531336784363
Jonathan Drouin,26,0.2766928684252959
Jonathan Huberdeau,32,0.5442286543548107
Jonathan Lekkerimaki,12,0.33015688012043637
Jonathan Marchessault,32,0.46997019997797906
Jonathan Quick,30,0.03436160236597061
Jonny Brodzinski,31,0.22959613054990768
Joona Koppanen,6,0.16947690397500992
Joonas Korpisalo,32,0.0008212807588279247
Jordan Binnington,34,0.0009933442753904005
Jordan Eberle,18,0.6143840468592114
Jordan Greenway,21,0.1443529576063156
Jordan Harris,32,0.1261528478935361
Jordan Kyrou,34,0.523488467449651
Jordan Martinook,36,0.44560017560919124
Jordan Oesterle,26,0.38751387424193895
Jordan Spence,34,0.23677024902666316
Jordan Staal,36,0.17325152829289436
Joseph Labate,3,0.0018755793571472168
Joseph Woll,33,0.0009038005814407811
Josh Anderson,34,0.17939990671241984
Josh Brown,10,0.1005754292011261
Josh Doan,20,0.25125652104616164
Josh Dunne,2,0.001115560531616211
Josh Filmon,2,0.001150086522102356
Josh Manson,29,0.17472376700105338
Josh Morrissey,36,0.31881000929408604
Josh Norris,32,0.19026700826361775
Joshua Mahura,30,0.3026243547598521
Joshua Roy,10,0.20097990036010743
Josiah Slavin,1,0.0006746649742126465
Juha Jääskä,11,0.27451385964046826
Julien Gauthier,3,0.0014435599247614543
Juraj Slafkovsky,34,0.5699816267280018
Justin Barron,32,0.2202619593590498
Justin Brazeau,35,0.11510631016322545
Justin Danforth,27,0.22821745000503682
Justin Dowling,30,0.27131338939070704
Justin Faulk,34,0.32985306947546844
Justin Holl,32,0.2208334505558014
Justin Hryckowian,3,0.3333292603492737
Justin Kirkland,9,0.22181707289483812
Justin Poirier,1,0.001263052225112915
Justin Robidas,2,0.5012933164834976
Justus Annunen,32,0.0007329308427870274
Juuse Saros,32,0.03218717593699694
Juuso Parssinen,33,0.21497701876091235
Juuso Valimaki,22,0.18288285014304248
K'Andre Miller,28,0.504979905007141
Kaapo Kahkonen,4,0.00109095498919487
Kaapo Kakko,30,0.4084697286287943
Kaedan Korczak,35,0.20164097121783664
Kaiden Guhle,33,0.0940307823546005
Kailer Yamamoto,9,0.0023437274826897513
Karel Vejmelka,31,0.03377477151732291
Karsen Dorwart,3,0.001130307714144389
Kasperi Kapanen,37,0.16463213353543668
Keaton Middleton,24,0.0837744368861119
Keegan Kolesar,36,0.2375078834593296
Kent Johnson,30,0.48716552679737407
Kevin Bahl,30,0.16734487166007359
Kevin Bicker,2,0.0009875372052192688
Kevin Fiala,34,0.47338443117983203
Kevin Gravel,3,0.004915888110796611
Kevin Hayes,31,0.1964321304713526
Kevin Korchinski,8,0.25102999433875084
Kevin Labanc,22,0.07911990041082556
Kevin Lankinen,32,0.032237548381090164
Kevin Mandolese,2,0.00048600882291793823
Kevin Rooney,30,0.26793853640556337
Kevin Stenlund,32,0.31518907006829977
Kiefer Sherwood,31,0.4470311475376929
Kieffer Bellows,12,0.16749079897999763
Kienan Draper,2,0.0009875372052192688
Kirby Dach,23,0.30585250582384027
Kirill Kaprizov,20,0.7455210193991662
Kirill Marchenko,32,0.28994190879166126
Klim Kostin,26,0.268569253385067
Kris Letang,33,0.3044005235036214
Kurtis MacDermid,34,0.0008969039601438186
Kyle Aucoin,2,0.0009875372052192688
Kyle Burroughs,34,0.08983707340324626
Kyle Capobianco,2,0.0008958950638771057
Kyle Connor,36,0.5902667302224371
Kyle MacLean,31,0.2599973928543829
Kyle Palmieri,31,0.3046950596955515
Landon Slaggert,14,0.21571853437594005
Lane Hutson,34,0.5578435354811304
Larry Keenan,2,0.0009875372052192688
Lars Eller,36,0.26143966242671013
Lawson Crouse,32,0.19056641776114702
Leevi Merilainen,11,0.0006542273543097756
Leo Carlsson,32,0.5935182645916939
Leon Draisaitl,36,0.6037173813415898
Liam Dower Nilsson,2,0.0009875372052192688
Liam Foudy,2,0.0009875372052192688
Liam O'Brien,32,0.09486970212310553
Liam Ohgren,14,0.28772334860903875
Lian Bichsel,21,0.14354992196673438
Linus Karlsson,11,0.27414130893620575
Linus Ullmark,28,0.07277659912194524
Logan Cooley,31,0.5020818532474579
Logan Mailloux,4,0.5039684511721134
Logan O'Connor,34,0.3752504063441473
Logan Stankoven,35,0.4078518069216183
Logan Stanley,32,0.15845041628926992
Logan Thompson,35,0.02946393702711378
Louis Crevier,23,0.13101657123669333
Louis Domingue,2,0.0013931989669799805
Luca Cagnoni,4,0.25444599613547325
Luca Del Bel Belluz,6,0.3367267772555351
Lucas Carlsson,6,0.1864329675833384
Lucas Condotta,4,0.2509711906313896
Lucas Mercuri,1,0.001263052225112915
Lucas Raymond,32,0.42519310722127557
Lukas Cormier,3,0.0012268771727879841
Lukas Dostal,32,0.0008224812336266041
Lukas Reichel,32,0.12685479130595922
Luke Evangelista,30,0.534939655661583
Luke Glendening,33,0.2437515746463429
Luke Hughes,31,0.4568422806839789
Luke Kunin,33,0.06402619499148744
Luke Schenn,36,0.22366717664731872
MacKenzie Weegar,32,0.5063372431322932
Mackenzie Blackwood,35,0.029894548228808812
Mackie Samoskevich,35,0.2694121279886791
Macklin Celebrini,28,0.3645658998617104
Mads Sogaard,3,0.001395811637242635
Maksymilian Szuber,2,0.001150086522102356
Marat Khusnutdinov,30,0.20150239666303
Marc Del Gaizo,22,0.320368690924211
Marc Gatcomb,15,0.06987513403097788
Marc McLaughlin,11,0.18286177786913785
Marc-Andre Fleury,34,0.0009456114733920378
Marc-Edouard Vlasic,17,0.17738603493746588
Marco Kasper,31,0.590050017881778
Marco Rossi,34,0.4989144387928879
Marcus Foligno,34,0.3551187681801179
Marcus Hogberg,16,0.0002919686958193779
Marcus Johansson,30,0.4269067014257113
