name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Clark Bishop,4,0.3204011657130015,4,0.25076838955283165,0.06963277616016983,DSS
Claude Giroux,34,0.4200799410095527,34,0.49102642080363107,-0.07094647979407837,RF
Clay Stevenson,2,0.08725877414790773,2,0.001150086522102356,0.08610868762580537,DSS
Clayton Keller,32,0.5164188617138561,32,0.4990917935501784,0.017327068163677684,DSS
Cody Ceci,37,0.19519964761834543,37,0.11029425948052793,0.0849053881378175,DSS
Cody Glass,31,0.23927461140351391,31,0.13139837691860815,0.10787623448490577,DSS
Cole Caufield,34,0.29903142446421044,34,0.3052089166115312,-0.006177492147320773,RF
Cole Koepke,30,0.3545629810837974,30,0.2793941562374433,0.07516882484635412,DSS
Cole Perfetti,36,0.3789548017830224,36,0.45480853877961636,-0.07585373699659398,RF
Cole Reinhardt,14,0.15125847502208192,14,0.07186869212559291,0.07938978289648901,DSS
Cole Schwindt,30,0.3174997932482608,30,0.2680232375860214,0.04947655566223935,DSS
Cole Sillinger,28,0.34272572534340645,28,0.35739798764032976,-0.01467226229692331,RF
Cole Smith,28,0.21537280594574074,28,0.1451386037681784,0.07023420217756235,DSS
Colin Blackwell,35,0.21801682115546214,35,0.11563882785184043,0.10237799330362171,DSS
Colin Miller,36,0.24567423970906685,36,0.1403525231613053,0.10532171654776154,DSS
Colin White,3,0.08725877414790771,3,0.0014295826355616252,0.08582919151234608,DSS
Collin Graf,14,0.2914837537954632,14,0.28688315195696695,0.004600601838496254,DSS
Colten Ellis,1,0.08116314847758505,1,0.0006684809923171997,0.08049466748526785,DSS
Colton Dach,16,0.15106630966573836,16,0.06392636708915234,0.08713994257658603,DSS
Colton Parayko,34,0.46407944919142824,34,0.5789220749455339,-0.1148426257541057,RF
Colton Sissons,32,0.16730830795171822,32,0.003067438956350088,0.16424086899536813,DSS
Colton White,5,0.08482052387977863,5,0.0008606016635894775,0.08395992221618916,DSS
Connor Bedard,33,0.4919618551451718,33,0.513055503819928,-0.021093648674756216,RF
Connor Brown,36,0.37320219158714774,36,0.33605822879407143,0.0371439627930763,DSS
Connor Clifton,32,0.2813406060137751,32,0.25079447589814663,0.030546130115628456,DSS
Connor Dewar,23,0.28928220830787266,23,0.26335055024727533,0.02593165806059733,DSS
Connor Hellebuyck,36,0.11218236403374846,36,0.02878890972998407,0.08339345430376438,DSS
Connor Ingram,16,0.1643289804924951,16,0.06346344295889139,0.10086553753360372,DSS
Connor Lockhart,1,0.08116314847758505,1,0.001263052225112915,0.07990009625247213,DSS
Connor Mackey,2,0.08116314847758506,2,0.0008958950638771057,0.08026725341370795,DSS
Connor McDavid,36,0.694784712478788,36,0.6987699824902747,-0.00398527001148663,RF
Connor McMichael,35,0.405688333702694,35,0.3588860537324633,0.04680227997023073,DSS
Connor Murphy,29,0.1482189171904531,29,0.13806311529258203,0.010155801897871075,DSS
Connor Zary,26,0.25746555853599346,26,0.15541890836679018,0.10204665016920328,DSS
Conor Garland,32,0.4454328520519074,32,0.4256300951819867,0.019802756869920723,DSS
Conor Geekie,23,0.27995690066527174,23,0.17971955920043198,0.10023734146483976,DSS
Conor Sheary,4,0.08725877414790773,4,0.0014145821332931519,0.08584419201461457,DSS
Conor Timmins,32,0.29031039047630597,32,0.25122185656800866,0.03908853390829731,DSS
Corey Perry,36,0.4161706907441899,36,0.42368202408154804,-0.00751133333735815,RF
Corey Schueneman,4,0.3204011657130015,4,0.2511564940214157,0.06924467169158577,DSS
Craig Smith,28,0.155290494536148,28,0.07455877108233315,0.08073172345381484,DSS
Cross Hanas,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Curtis Lazar,30,0.2150604650799389,30,0.16766709983348846,0.047393365246450436,DSS
Cutter Gauthier,32,0.43934213093252095,32,0.44746542209759355,-0.0081232911650726,RF
Daemon Hunt,4,0.08725877414790773,4,0.0013666972517967224,0.085892076896111,DSS
Dakota Joshua,22,0.24212567208034394,22,0.13753412663936615,0.10459154544097779,DSS
Dakota Mermis,11,0.17377512273301798,11,0.09177117049694061,0.08200395223607737,DSS
Dalibor Dvorsky,4,0.5231500343282202,4,0.5072691664099693,0.01588086791825083,DSS
Damon Severson,32,0.1823386760706174,32,0.09326216764748096,0.08907650842313644,DSS
Dan Vladar,31,0.11457492816045288,31,0.03300521642931046,0.08156971173114241,DSS
Daniel Sprong,24,0.27631323632155924,24,0.20918046248455843,0.06713277383700081,DSS
Daniil Miromanov,32,0.2964584144037139,32,0.2507232967764139,0.04573511762729998,DSS
Daniil Misyul,2,0.18079175816864163,2,0.003951035439968109,0.17684072272867352,DSS
Daniil Tarasov,32,0.11529781276947859,32,0.03220841707661748,0.08308939569286111,DSS
Danil Gushchin,7,0.8966486929997993,7,1.0109860024281911,-0.11433730942839182,RF
Dante Fabbro,33,0.35133056190648754,33,0.32273338373863336,0.028597178167854176,DSS
Danton Heinen,32,0.33422739230898024,32,0.3487719390541315,-0.014544546745151266,RF
Darcy Kuemper,31,0.11677832512901343,31,0.033210062211559664,0.08356826291745376,DSS
Darnell Nurse,36,0.2929425466248433,36,0.19671738313304055,0.09622516349180277,DSS
Darren Raddysh,33,0.37365261656247234,33,0.3476852688825492,0.025967347679923147,DSS
David Gustafsson,36,0.24087520365856138,36,0.1962939351797104,0.044581268478850994,DSS
David Jiricek,16,0.25713334121755593,16,0.18835540767759085,0.06877793353996509,DSS
David Kampf,32,0.16510689329006717,32,0.06370032439008355,0.10140656889998362,DSS
David Pastrnak,32,0.9521321412575038,32,0.7884660474956036,0.16366609376190022,DSS
David Perron,29,0.23927608093358832,29,0.17449359493008976,0.06478248600349856,DSS
David Rittich,34,0.08510737685249975,34,0.0008473878397661097,0.08425998901273364,DSS
David Savard,34,0.23253357168407507,34,0.14862510211327495,0.08390846957080011,DSS
Dawson Mercer,34,0.44243777623914105,34,0.41316301156492796,0.029274764674213083,DSS
Declan Carlile,3,0.13759541344800008,3,0.002081543207168579,0.1355138702408315,DSS
Declan Chisholm,34,0.2028638937380894,34,0.11948608913842369,0.08337780459966572,DSS
Dennis Cholowski,30,0.3512404040666437,30,0.2678522696097692,0.08338813445687449,DSS
Dennis Gilbert,34,0.23678948559678017,34,0.17823246691156835,0.05855701868521182,DSS
Dennis Hildeby,11,0.08504218299506311,11,0.0005881610241803256,0.08445402197088278,DSS
Denton Mateychuk,20,0.3253599545455793,20,0.2493900887668133,0.07596986577876602,DSS
Derek Forbort,28,0.28022233176294675,28,0.21551205696804182,0.06471027479490493,DSS
Derek Ryan,24,0.2609439384646068,24,0.20940879049400488,0.05153514797060191,DSS
